tender_id,state,department,winning_supplier,award_value,estimated_value,number_of_bidders,contract_duration,flags_str,prelim_risk_score,risk_stratum,value_bucket,source_dataset
CEN-CE-2021-01229,CENTRAL,INDIAN RAILWAYS,SHREE BALAJI ENTERPRISE,4364763.73,4959958.79,1,6.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEDIUM (10L-50L),CENTRAL_CPPP
2018_PWD_19280_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,DEEPAK ATTRI,638427.0,494227.0,6,8.958333333333334,RF-6,15,MEDIUM_RISK,SMALL (<10L),HIMACHAL_PRADESH
2017_HPIPH_17188_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,GOPAL MAHAJAN,7552380.0,7552380.0,2,24.80208333333333,RF-6,15,MEDIUM_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
2017_UDDHP_15578_1,HIMACHAL PRADESH,EXECUTIVE OFFICER MC SOLAN,BHUPENDER SINGH THAKUR,225448.0,150000.0,2,8.083333333333334,"RF-5, RF-6",35,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
2019_HPIPH_31379_1-1135,HIMACHAL PRADESH,EXECUTIVE ENGINEER IRRIGATION AND PUBLIC HEALTH DIVISION BARSAR,RAMAN KUMAR,2317352.36,1539605.0,4,17.791666666666668,"RF-5, RF-6",35,HIGH_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_15116_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,SARWAR SHAH,2340984.0,3212251.0,13,21.041666666666668,RF-6,15,MEDIUM_RISK,MEDIUM (10L-50L),HIMACHAL_PRADESH
2017_PWD_15909_1,HIMACHAL PRADESH,EXECUTIVE ENGINEER,NISHA KUMARI,944221.0,609698.0,6,11.916666666666666,"RF-5, RF-6",35,HIGH_RISK,SMALL (<10L),HIMACHAL_PRADESH
KAR-KA-2021-01220,KARNATAKA,BANGALORE METRO RAIL CORP,SHARMA ENGINEERING WORKS,315793880.54,309601843.67,1,4.0,"RF-1, RF-4, RF-6",55,HIGH_RISK,MEGA (>5Cr),KARNATAKA
CEN-CE-2021-01336,CENTRAL,MINISTRY OF HEALTH FAMILY WELFARE,SHARMA ENGINEERING WORKS,278559490.55,293220516.37,2,4.0,"RF-4, RF-6",30,HIGH_RISK,MEGA (>5Cr),CENTRAL_CPPP
2020_PWD_37341_4,HIMACHAL PRADESH,EXECUTIVE ENGINEER,PREM SINGH,6864089.0,4861757.0,3,6.708333333333333,"RF-4, RF-5",35,HIGH_RISK,LARGE (50L-5Cr),HIMACHAL_PRADESH
