tender_id,tender_reference,department,organization,state,district,location,procurement_category,tender_title,description,published_date,submission_deadline,opening_date,contract_date,estimated_value,award_value,currency,number_of_bidders,winning_supplier,supplier_id,supplier_name,supplier_address,tender_status,contract_duration,extension_count,extension_days,procurement_method,buyer,source_dataset,source_url
KAR-KA-2021-01001,REF-KAR-KA-2021-01001,BANGALORE METRO RAIL CORP,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Information Technology & Software,Procurement of information technology & software for BANGALORE METRO RAIL CORP,Official public tender for supply of information technology & software under standard KARNATAKA state procurement guidelines.,2019-10-20 00:00:00,2019-10-26 00:00:00,2019-10-27 00:00:00,2019-11-10,3777858.43,4080087.1,INR,2,BHARAT DIAGNOSTIC SYSTEMS,ENT-SUP-C6B6FCD7BC,BHARAT DIAGNOSTIC SYSTEMS,"KARNATAKA, India",AWARDED,6.0,0,0,OPEN_TENDER,BANGALORE METRO RAIL CORP,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01002,REF-KAR-KA-2021-01002,BRUHAT BENGALURU MAHANAGARA PALIKE BBMP,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Consultancy & Facility Management,Procurement of consultancy & facility management for BRUHAT BENGALURU MAHANAGARA PALIKE BBMP,Official public tender for supply of consultancy & facility management under standard KARNATAKA state procurement guidelines.,2020-07-06 00:00:00,2020-07-27 00:00:00,2020-07-28 00:00:00,2020-08-11,3376125.42,4557769.32,INR,3,DILIP BUILDCON LIMITED,ENT-SUP-55226FC7C8,DILIP BUILDCON LIMITED,"KARNATAKA, India",AWARDED,21.0,1,0,OPEN_TENDER,BRUHAT BENGALURU MAHANAGARA PALIKE BBMP,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01003,REF-KAR-KA-2021-01003,KARNATAKA RURAL INFRASTRUCTURE,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Consultancy & Facility Management,Procurement of consultancy & facility management for KARNATAKA RURAL INFRASTRUCTURE,Official public tender for supply of consultancy & facility management under standard KARNATAKA state procurement guidelines.,2019-11-20 00:00:00,2019-11-24 00:00:00,2019-11-25 00:00:00,2019-12-09,172070204.9,232294776.62,INR,1,AFCONS INFRASTRUCTURE LIMITED,ENT-SUP-AC3B9A87E5,AFCONS INFRASTRUCTURE LIMITED,"KARNATAKA, India",AWARDED,4.0,1,0,OPEN_TENDER,KARNATAKA RURAL INFRASTRUCTURE,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01004,REF-KAR-KA-2021-01004,KARNATAKA PUBLIC WORKS PORTS INLAND WATER,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Information Technology & Software,Procurement of information technology & software for KARNATAKA PUBLIC WORKS PORTS INLAND WATER,Official public tender for supply of information technology & software under standard KARNATAKA state procurement guidelines.,2020-11-12 00:00:00,2020-11-16 00:00:00,2020-11-17 00:00:00,2020-12-01,4935548.9,5034259.88,INR,8,APEX MEDITECH SOLUTIONS,ENT-SUP-A750489DC1,APEX MEDITECH SOLUTIONS,"KARNATAKA, India",AWARDED,4.0,1,0,OPEN_TENDER,KARNATAKA PUBLIC WORKS PORTS INLAND WATER,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01005,REF-KAR-KA-2021-01005,BANGALORE METRO RAIL CORP,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Medical Equipment & Consumables,Procurement of medical equipment & consumables for BANGALORE METRO RAIL CORP,Official public tender for supply of medical equipment & consumables under standard KARNATAKA state procurement guidelines.,2021-04-26 00:00:00,2021-05-02 00:00:00,2021-05-03 00:00:00,2021-05-17,4913846.33,4668154.02,INR,5,PNC INFRATECH LIMITED,ENT-SUP-4B3E89D111,PNC INFRATECH LIMITED,"KARNATAKA, India",AWARDED,6.0,0,0,OPEN_TENDER,BANGALORE METRO RAIL CORP,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01006,REF-KAR-KA-2021-01006,BANGALORE METRO RAIL CORP,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Medical Equipment & Consumables,Procurement of medical equipment & consumables for BANGALORE METRO RAIL CORP,Official public tender for supply of medical equipment & consumables under standard KARNATAKA state procurement guidelines.,2020-10-24 00:00:00,2020-11-07 00:00:00,2020-11-08 00:00:00,2020-11-22,4969586.5,4721107.17,INR,4,SHARMA ENGINEERING WORKS,ENT-SUP-9473B0CC3C,SHARMA ENGINEERING WORKS,"KARNATAKA, India",AWARDED,14.0,0,0,OPEN_TENDER,BANGALORE METRO RAIL CORP,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01007,REF-KAR-KA-2021-01007,HEALTH FAMILY WELFARE KARNATAKA,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Consultancy & Facility Management,Procurement of consultancy & facility management for HEALTH FAMILY WELFARE KARNATAKA,Official public tender for supply of consultancy & facility management under standard KARNATAKA state procurement guidelines.,2020-10-24 00:00:00,2020-10-30 00:00:00,2020-10-31 00:00:00,2020-11-14,95120667.57,97023080.92,INR,2,AFCONS INFRASTRUCTURE LIMITED,ENT-SUP-AC3B9A87E5,AFCONS INFRASTRUCTURE LIMITED,"KARNATAKA, India",AWARDED,6.0,0,0,OPEN_TENDER,HEALTH FAMILY WELFARE KARNATAKA,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01008,REF-KAR-KA-2021-01008,KARNATAKA RURAL INFRASTRUCTURE,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Electrical & Mechanical,Procurement of electrical & mechanical for KARNATAKA RURAL INFRASTRUCTURE,Official public tender for supply of electrical & mechanical under standard KARNATAKA state procurement guidelines.,2019-06-04 00:00:00,2019-06-25 00:00:00,2019-06-26 00:00:00,2019-07-10,3589890.14,4128373.66,INR,4,LARSEN AND TOUBRO CONSTRUCTION,ENT-SUP-6C6BEB7D6E,LARSEN AND TOUBRO CONSTRUCTION,"KARNATAKA, India",AWARDED,21.0,0,0,OPEN_TENDER,KARNATAKA RURAL INFRASTRUCTURE,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01009,REF-KAR-KA-2021-01009,BANGALORE METRO RAIL CORP,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Medical Equipment & Consumables,Procurement of medical equipment & consumables for BANGALORE METRO RAIL CORP,Official public tender for supply of medical equipment & consumables under standard KARNATAKA state procurement guidelines.,2020-06-08 00:00:00,2020-06-14 00:00:00,2020-06-15 00:00:00,2020-06-29,4987670.05,5735820.56,INR,1,VANGUARD POWER SERVICES,ENT-SUP-FBE5090586,VANGUARD POWER SERVICES,"KARNATAKA, India",AWARDED,6.0,2,0,OPEN_TENDER,BANGALORE METRO RAIL CORP,KARNATAKA,https://kppp.karnataka.gov.in/
KAR-KA-2021-01010,REF-KAR-KA-2021-01010,BANGALORE METRO RAIL CORP,KARNATAKA State Government,KARNATAKA,Central District,"KARNATAKA, India",Civil Works & Infrastructure,Procurement of civil works & infrastructure for BANGALORE METRO RAIL CORP,Official public tender for supply of civil works & infrastructure under standard KARNATAKA state procurement guidelines.,2021-05-06 00:00:00,2021-06-05 00:00:00,2021-06-06 00:00:00,2021-06-20,4955461.37,5698780.57,INR,1,AHLUWALIA CONTRACTS INDIA LIMITED,ENT-SUP-28AFE50D95,AHLUWALIA CONTRACTS INDIA LIMITED,"KARNATAKA, India",AWARDED,30.0,2,0,OPEN_TENDER,BANGALORE METRO RAIL CORP,KARNATAKA,https://kppp.karnataka.gov.in/
