tender_id,tender_reference,department,organization,state,district,location,procurement_category,tender_title,description,published_date,submission_deadline,opening_date,contract_date,estimated_value,award_value,currency,number_of_bidders,winning_supplier,supplier_id,supplier_name,supplier_address,tender_status,contract_duration,extension_count,extension_days,procurement_method,buyer,source_dataset,source_url
RAJ-RA-2021-01001,REF-RAJ-RA-2021-01001,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Consultancy & Facility Management,Procurement of consultancy & facility management for JAIPUR DEVELOPMENT AUTHORITY,Official public tender for supply of consultancy & facility management under standard RAJASTHAN state procurement guidelines.,2020-05-17 00:00:00,2020-05-21 00:00:00,2020-05-22 00:00:00,2020-06-05,878559.04,1010342.9,INR,4,SHARMA ENGINEERING WORKS,ENT-SUP-9473B0CC3C,SHARMA ENGINEERING WORKS,"RAJASTHAN, India",AWARDED,4.0,1,0,OPEN_TENDER,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01002,REF-RAJ-RA-2021-01002,RAJASTHAN RAJYA VIDYUT PRASARAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for RAJASTHAN RAJYA VIDYUT PRASARAN,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2019-11-17 00:00:00,2019-12-01 00:00:00,2019-12-02 00:00:00,2019-12-16,287844186.35,388589651.57,INR,8,APEX MEDITECH SOLUTIONS,ENT-SUP-A750489DC1,APEX MEDITECH SOLUTIONS,"RAJASTHAN, India",AWARDED,14.0,1,0,OPEN_TENDER,RAJASTHAN RAJYA VIDYUT PRASARAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01003,REF-RAJ-RA-2021-01003,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Information Technology & Software,Procurement of information technology & software for RAJASTHAN PUBLIC WORKS DEPARTMENT,Official public tender for supply of information technology & software under standard RAJASTHAN state procurement guidelines.,2021-01-09 00:00:00,2021-01-15 00:00:00,2021-01-16 00:00:00,2021-01-30,295739676.21,319398850.31,INR,3,BHARAT DIAGNOSTIC SYSTEMS,ENT-SUP-C6B6FCD7BC,BHARAT DIAGNOSTIC SYSTEMS,"RAJASTHAN, India",AWARDED,6.0,0,0,OPEN_TENDER,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01004,REF-RAJ-RA-2021-01004,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for JAIPUR DEVELOPMENT AUTHORITY,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2019-09-04 00:00:00,2019-09-08 00:00:00,2019-09-09 00:00:00,2019-09-23,84583959.41,86275638.6,INR,2,VANGUARD POWER SERVICES,ENT-SUP-FBE5090586,VANGUARD POWER SERVICES,"RAJASTHAN, India",AWARDED,4.0,0,0,OPEN_TENDER,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01005,REF-RAJ-RA-2021-01005,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Medical Equipment & Consumables,Procurement of medical equipment & consumables for PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,Official public tender for supply of medical equipment & consumables under standard RAJASTHAN state procurement guidelines.,2019-12-31 00:00:00,2020-01-21 00:00:00,2020-01-22 00:00:00,2020-02-05,19600259.29,22540298.18,INR,2,ZENITH INFRASTRUCTURE PROJECTS,ENT-SUP-4F350A4CA1,ZENITH INFRASTRUCTURE PROJECTS,"RAJASTHAN, India",AWARDED,21.0,0,0,OPEN_TENDER,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01006,REF-RAJ-RA-2021-01006,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for JAIPUR DEVELOPMENT AUTHORITY,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2020-05-31 00:00:00,2020-06-06 00:00:00,2020-06-07 00:00:00,2020-06-21,259067943.84,264249302.72,INR,3,AHLUWALIA CONTRACTS INDIA LIMITED,ENT-SUP-28AFE50D95,AHLUWALIA CONTRACTS INDIA LIMITED,"RAJASTHAN, India",AWARDED,6.0,0,0,OPEN_TENDER,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01007,REF-RAJ-RA-2021-01007,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Medical Equipment & Consumables,Procurement of medical equipment & consumables for PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,Official public tender for supply of medical equipment & consumables under standard RAJASTHAN state procurement guidelines.,2020-12-13 00:00:00,2021-01-12 00:00:00,2021-01-13 00:00:00,2021-01-27,11543806.84,12467311.39,INR,4,AFCONS INFRASTRUCTURE LIMITED,ENT-SUP-AC3B9A87E5,AFCONS INFRASTRUCTURE LIMITED,"RAJASTHAN, India",AWARDED,30.0,0,0,OPEN_TENDER,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01008,REF-RAJ-RA-2021-01008,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Consultancy & Facility Management,Procurement of consultancy & facility management for JAIPUR DEVELOPMENT AUTHORITY,Official public tender for supply of consultancy & facility management under standard RAJASTHAN state procurement guidelines.,2020-01-27 00:00:00,2020-02-17 00:00:00,2020-02-18 00:00:00,2020-03-03,1962730.41,1864593.89,INR,5,PNC INFRATECH LIMITED,ENT-SUP-4B3E89D111,PNC INFRATECH LIMITED,"RAJASTHAN, India",AWARDED,21.0,0,0,OPEN_TENDER,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01009,REF-RAJ-RA-2021-01009,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Consultancy & Facility Management,Procurement of consultancy & facility management for PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,Official public tender for supply of consultancy & facility management under standard RAJASTHAN state procurement guidelines.,2019-02-21 00:00:00,2019-03-23 00:00:00,2019-03-24 00:00:00,2019-04-07,160311670.29,184358420.83,INR,3,BHARAT DIAGNOSTIC SYSTEMS,ENT-SUP-C6B6FCD7BC,BHARAT DIAGNOSTIC SYSTEMS,"RAJASTHAN, India",AWARDED,30.0,1,0,OPEN_TENDER,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01010,REF-RAJ-RA-2021-01010,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for RAJASTHAN PUBLIC WORKS DEPARTMENT,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2019-03-18 00:00:00,2019-04-17 00:00:00,2019-04-18 00:00:00,2019-05-02,181808010.35,245440813.98,INR,3,LARSEN AND TOUBRO CONSTRUCTION,ENT-SUP-6C6BEB7D6E,LARSEN AND TOUBRO CONSTRUCTION,"RAJASTHAN, India",AWARDED,30.0,0,0,OPEN_TENDER,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01011,REF-RAJ-RA-2021-01011,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for JAIPUR DEVELOPMENT AUTHORITY,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2020-03-28 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-16,109940481.89,118735720.45,INR,4,APEX MEDITECH SOLUTIONS,ENT-SUP-A750489DC1,APEX MEDITECH SOLUTIONS,"RAJASTHAN, India",AWARDED,4.0,1,0,OPEN_TENDER,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01012,REF-RAJ-RA-2021-01012,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Civil Works & Infrastructure,Procurement of civil works & infrastructure for RAJASTHAN PUBLIC WORKS DEPARTMENT,Official public tender for supply of civil works & infrastructure under standard RAJASTHAN state procurement guidelines.,2020-11-27 00:00:00,2020-12-18 00:00:00,2020-12-19 00:00:00,2021-01-02,9861181.76,13312595.37,INR,2,GUPTA AND SONS CONTRACTOR,ENT-SUP-7A3AE215B9,GUPTA AND SONS CONTRACTOR,"RAJASTHAN, India",AWARDED,21.0,1,0,OPEN_TENDER,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01013,REF-RAJ-RA-2021-01013,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Medical Equipment & Consumables,Procurement of medical equipment & consumables for RAJASTHAN PUBLIC WORKS DEPARTMENT,Official public tender for supply of medical equipment & consumables under standard RAJASTHAN state procurement guidelines.,2020-07-14 00:00:00,2020-07-20 00:00:00,2020-07-21 00:00:00,2020-08-04,51883563.14,70042810.24,INR,1,LARSEN AND TOUBRO CONSTRUCTION,ENT-SUP-6C6BEB7D6E,LARSEN AND TOUBRO CONSTRUCTION,"RAJASTHAN, India",AWARDED,6.0,0,0,OPEN_TENDER,RAJASTHAN PUBLIC WORKS DEPARTMENT,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01014,REF-RAJ-RA-2021-01014,MEDICAL HEALTH SERVICES JAIPUR,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Information Technology & Software,Procurement of information technology & software for MEDICAL HEALTH SERVICES JAIPUR,Official public tender for supply of information technology & software under standard RAJASTHAN state procurement guidelines.,2020-05-02 00:00:00,2020-05-23 00:00:00,2020-05-24 00:00:00,2020-06-07,4930175.84,5669702.21,INR,8,SHARMA ENGINEERING WORKS,ENT-SUP-9473B0CC3C,SHARMA ENGINEERING WORKS,"RAJASTHAN, India",AWARDED,21.0,0,0,OPEN_TENDER,MEDICAL HEALTH SERVICES JAIPUR,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01015,REF-RAJ-RA-2021-01015,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Information Technology & Software,Procurement of information technology & software for PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,Official public tender for supply of information technology & software under standard RAJASTHAN state procurement guidelines.,2019-07-04 00:00:00,2019-07-10 00:00:00,2019-07-11 00:00:00,2019-07-25,6397139.24,8636137.98,INR,4,APEX MEDITECH SOLUTIONS,ENT-SUP-A750489DC1,APEX MEDITECH SOLUTIONS,"RAJASTHAN, India",AWARDED,6.0,0,0,OPEN_TENDER,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01016,REF-RAJ-RA-2021-01016,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for JAIPUR DEVELOPMENT AUTHORITY,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2019-08-21 00:00:00,2019-09-11 00:00:00,2019-09-12 00:00:00,2019-09-26,2531521.19,2582151.61,INR,3,ZENITH INFRASTRUCTURE PROJECTS,ENT-SUP-4F350A4CA1,ZENITH INFRASTRUCTURE PROJECTS,"RAJASTHAN, India",AWARDED,21.0,0,0,OPEN_TENDER,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01017,REF-RAJ-RA-2021-01017,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for JAIPUR DEVELOPMENT AUTHORITY,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2020-10-26 00:00:00,2020-11-01 00:00:00,2020-11-02 00:00:00,2020-11-16,15813896.75,18185981.26,INR,2,SHREE BALAJI ENTERPRISE,ENT-SUP-CA68E614E4,SHREE BALAJI ENTERPRISE,"RAJASTHAN, India",AWARDED,6.0,1,0,OPEN_TENDER,JAIPUR DEVELOPMENT AUTHORITY,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01018,REF-RAJ-RA-2021-01018,MEDICAL HEALTH SERVICES JAIPUR,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Electrical & Mechanical,Procurement of electrical & mechanical for MEDICAL HEALTH SERVICES JAIPUR,Official public tender for supply of electrical & mechanical under standard RAJASTHAN state procurement guidelines.,2021-06-07 00:00:00,2021-06-11 00:00:00,2021-06-12 00:00:00,2021-06-26,3272999.82,3763949.79,INR,3,TATA PROJECTS LIMITED,ENT-SUP-861D6E7011,TATA PROJECTS LIMITED,"RAJASTHAN, India",AWARDED,4.0,0,0,OPEN_TENDER,MEDICAL HEALTH SERVICES JAIPUR,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01019,REF-RAJ-RA-2021-01019,RAJASTHAN RAJYA VIDYUT PRASARAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Consultancy & Facility Management,Procurement of consultancy & facility management for RAJASTHAN RAJYA VIDYUT PRASARAN,Official public tender for supply of consultancy & facility management under standard RAJASTHAN state procurement guidelines.,2020-09-16 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-22,4318594.19,3800362.89,INR,1,ZENITH INFRASTRUCTURE PROJECTS,ENT-SUP-4F350A4CA1,ZENITH INFRASTRUCTURE PROJECTS,"RAJASTHAN, India",AWARDED,21.0,0,0,OPEN_TENDER,RAJASTHAN RAJYA VIDYUT PRASARAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01020,REF-RAJ-RA-2021-01020,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Information Technology & Software,Procurement of information technology & software for PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,Official public tender for supply of information technology & software under standard RAJASTHAN state procurement guidelines.,2021-07-17 00:00:00,2021-07-21 00:00:00,2021-07-22 00:00:00,2021-08-05,11058562.71,12717347.12,INR,3,TATA PROJECTS LIMITED,ENT-SUP-861D6E7011,TATA PROJECTS LIMITED,"RAJASTHAN, India",AWARDED,4.0,2,0,OPEN_TENDER,PUBLIC HEALTH ENGINEERING DEPT RAJASTHAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
RAJ-RA-2021-01021,REF-RAJ-RA-2021-01021,RAJASTHAN RAJYA VIDYUT PRASARAN,RAJASTHAN State Government,RAJASTHAN,Central District,"RAJASTHAN, India",Civil Works & Infrastructure,Procurement of civil works & infrastructure for RAJASTHAN RAJYA VIDYUT PRASARAN,Official public tender for supply of civil works & infrastructure under standard RAJASTHAN state procurement guidelines.,2019-12-20 00:00:00,2020-01-10 00:00:00,2020-01-11 00:00:00,2020-01-25,232186698.96,220577364.02,INR,1,DILIP BUILDCON LIMITED,ENT-SUP-55226FC7C8,DILIP BUILDCON LIMITED,"RAJASTHAN, India",AWARDED,21.0,0,0,OPEN_TENDER,RAJASTHAN RAJYA VIDYUT PRASARAN,RAJASTHAN,https://eproc.rajasthan.gov.in/
