tender_id,tender_reference,department,organization,state,district,location,procurement_category,tender_title,description,published_date,submission_deadline,opening_date,contract_date,estimated_value,award_value,currency,number_of_bidders,winning_supplier,supplier_id,supplier_name,supplier_address,tender_status,contract_duration,extension_count,extension_days,procurement_method,buyer,source_dataset,source_url
UTT-UT-2021-01001,REF-UTT-UT-2021-01001,UTTAR PRADESH JAL NIGAM,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Consultancy & Facility Management,Procurement of consultancy & facility management for UTTAR PRADESH JAL NIGAM,Official public tender for supply of consultancy & facility management under standard UTTAR PRADESH state procurement guidelines.,2019-04-07 00:00:00,2019-04-11 00:00:00,2019-04-12 00:00:00,2019-04-26,91560236.95,123606319.88,INR,2,BHARAT DIAGNOSTIC SYSTEMS,ENT-SUP-C6B6FCD7BC,BHARAT DIAGNOSTIC SYSTEMS,"UTTAR PRADESH, India",AWARDED,4.0,1,0,OPEN_TENDER,UTTAR PRADESH JAL NIGAM,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01002,REF-UTT-UT-2021-01002,UP STATE HIGHWAY AUTHORITY,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Information Technology & Software,Procurement of information technology & software for UP STATE HIGHWAY AUTHORITY,Official public tender for supply of information technology & software under standard UTTAR PRADESH state procurement guidelines.,2019-04-06 00:00:00,2019-04-20 00:00:00,2019-04-21 00:00:00,2019-05-05,3101482.77,3349601.4,INR,2,SHARMA ENGINEERING WORKS,ENT-SUP-9473B0CC3C,SHARMA ENGINEERING WORKS,"UTTAR PRADESH, India",AWARDED,14.0,0,0,OPEN_TENDER,UP STATE HIGHWAY AUTHORITY,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01003,REF-UTT-UT-2021-01003,UP STATE HIGHWAY AUTHORITY,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Civil Works & Infrastructure,Procurement of civil works & infrastructure for UP STATE HIGHWAY AUTHORITY,Official public tender for supply of civil works & infrastructure under standard UTTAR PRADESH state procurement guidelines.,2020-12-25 00:00:00,2021-01-24 00:00:00,2021-01-25 00:00:00,2021-02-08,4990272.54,5090077.99,INR,3,PNC INFRATECH LIMITED,ENT-SUP-4B3E89D111,PNC INFRATECH LIMITED,"UTTAR PRADESH, India",AWARDED,30.0,0,0,OPEN_TENDER,UP STATE HIGHWAY AUTHORITY,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01004,REF-UTT-UT-2021-01004,MEDICAL HEALTH FAMILY WELFARE LUCKNOW,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Medical Equipment & Consumables,Procurement of medical equipment & consumables for MEDICAL HEALTH FAMILY WELFARE LUCKNOW,Official public tender for supply of medical equipment & consumables under standard UTTAR PRADESH state procurement guidelines.,2021-08-09 00:00:00,2021-08-30 00:00:00,2021-08-31 00:00:00,2021-09-14,314553337.11,320844403.85,INR,1,ZENITH INFRASTRUCTURE PROJECTS,ENT-SUP-4F350A4CA1,ZENITH INFRASTRUCTURE PROJECTS,"UTTAR PRADESH, India",AWARDED,21.0,0,0,OPEN_TENDER,MEDICAL HEALTH FAMILY WELFARE LUCKNOW,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01005,REF-UTT-UT-2021-01005,UP STATE HIGHWAY AUTHORITY,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Civil Works & Infrastructure,Procurement of civil works & infrastructure for UP STATE HIGHWAY AUTHORITY,Official public tender for supply of civil works & infrastructure under standard UTTAR PRADESH state procurement guidelines.,2020-06-12 00:00:00,2020-06-16 00:00:00,2020-06-17 00:00:00,2020-07-01,4665164.73,4105344.97,INR,1,SHARMA ENGINEERING WORKS,ENT-SUP-9473B0CC3C,SHARMA ENGINEERING WORKS,"UTTAR PRADESH, India",AWARDED,4.0,0,0,OPEN_TENDER,UP STATE HIGHWAY AUTHORITY,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01006,REF-UTT-UT-2021-01006,NOIDA INDUSTRIAL DEVELOPMENT AUTH,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Civil Works & Infrastructure,Procurement of civil works & infrastructure for NOIDA INDUSTRIAL DEVELOPMENT AUTH,Official public tender for supply of civil works & infrastructure under standard UTTAR PRADESH state procurement guidelines.,2021-03-02 00:00:00,2021-03-23 00:00:00,2021-03-24 00:00:00,2021-04-07,311371475.45,274006898.4,INR,3,KNR CONSTRUCTION,ENT-SUP-6A86A67807,KNR CONSTRUCTION,"UTTAR PRADESH, India",AWARDED,21.0,2,0,OPEN_TENDER,NOIDA INDUSTRIAL DEVELOPMENT AUTH,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01007,REF-UTT-UT-2021-01007,UP STATE HIGHWAY AUTHORITY,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Consultancy & Facility Management,Procurement of consultancy & facility management for UP STATE HIGHWAY AUTHORITY,Official public tender for supply of consultancy & facility management under standard UTTAR PRADESH state procurement guidelines.,2019-12-09 00:00:00,2019-12-15 00:00:00,2019-12-16 00:00:00,2019-12-30,6322065.53,6448506.84,INR,2,APEX MEDITECH SOLUTIONS,ENT-SUP-A750489DC1,APEX MEDITECH SOLUTIONS,"UTTAR PRADESH, India",AWARDED,6.0,0,0,OPEN_TENDER,UP STATE HIGHWAY AUTHORITY,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01008,REF-UTT-UT-2021-01008,UTTAR PRADESH JAL NIGAM,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Information Technology & Software,Procurement of information technology & software for UTTAR PRADESH JAL NIGAM,Official public tender for supply of information technology & software under standard UTTAR PRADESH state procurement guidelines.,2020-11-24 00:00:00,2020-11-28 00:00:00,2020-11-29 00:00:00,2020-12-13,154665384.47,146932115.24,INR,2,TATA PROJECTS LIMITED,ENT-SUP-861D6E7011,TATA PROJECTS LIMITED,"UTTAR PRADESH, India",AWARDED,4.0,0,0,OPEN_TENDER,UTTAR PRADESH JAL NIGAM,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01009,REF-UTT-UT-2021-01009,NOIDA INDUSTRIAL DEVELOPMENT AUTH,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Information Technology & Software,Procurement of information technology & software for NOIDA INDUSTRIAL DEVELOPMENT AUTH,Official public tender for supply of information technology & software under standard UTTAR PRADESH state procurement guidelines.,2019-03-15 00:00:00,2019-03-19 00:00:00,2019-03-20 00:00:00,2019-04-03,4910740.19,5647351.21,INR,1,SHREE BALAJI ENTERPRISE,ENT-SUP-CA68E614E4,SHREE BALAJI ENTERPRISE,"UTTAR PRADESH, India",AWARDED,4.0,0,0,OPEN_TENDER,NOIDA INDUSTRIAL DEVELOPMENT AUTH,UTTAR_PRADESH,https://etender.up.nic.in/
UTT-UT-2021-01010,REF-UTT-UT-2021-01010,UTTAR PRADESH JAL NIGAM,UTTAR PRADESH State Government,UTTAR PRADESH,Central District,"UTTAR PRADESH, India",Information Technology & Software,Procurement of information technology & software for UTTAR PRADESH JAL NIGAM,Official public tender for supply of information technology & software under standard UTTAR PRADESH state procurement guidelines.,2019-09-15 00:00:00,2019-09-29 00:00:00,2019-09-30 00:00:00,2019-10-14,4978035.02,5077595.72,INR,4,BHARAT DIAGNOSTIC SYSTEMS,ENT-SUP-C6B6FCD7BC,BHARAT DIAGNOSTIC SYSTEMS,"UTTAR PRADESH, India",AWARDED,14.0,0,0,OPEN_TENDER,UTTAR PRADESH JAL NIGAM,UTTAR_PRADESH,https://etender.up.nic.in/
