contract_number,title,specification,department,vendor,vendor_product_description,estimate_value,award_value,tender_start,tender_end,contract_date,bidder_count,procurement_category,location,provenance_ocid,provenance_source
2017_PWD_16278_1,Periodical Renewal of roads for the year 2017-18 Under PMGSY (I) Katholi to Bantungali road km. 0/0 to 3/625 ( Package No.HP-04-052) (II) Narhan to Nana Khas road km. 0/0 to 2/990 ( Package No.HP-04-056),(I) Katholi to Bantungali road (SH Providing and laying 25mm thick bitumenous concrete in km. 2/0 to 2/500 (II) Narhan to Nana Khas road (SH Providing and laying 25mm thick bitumenous concrete in km 1/0 to 1/500,EXECUTIVE ENGINEER,rajat thakur,"Supplier of goods, civil works, and medical equipment for rajat thakur",773315.0,813728.0,2017-05-10 11:00:00,2017-05-31 10:00:00,2017-05-10,2,works,JAWALI,ocds-kjhdrl-2017_PWD_16278_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2020_PWD_37341_4,Periodic Maintenance of Various Rural Roads under Nahan Division under AMP Plan for the year 2020-21,"P/L 30 mm thick Bituminous Concrete on Dadahu to Bechar Ka Bag Road Km 3/0 to 5/0, 8/0 to 9/0 and 13/0 to 14/0 and Jamta to Mahipur Road Km 0/0 to 1/0",Executive Engineer,PREM SINGH,"Supplier of goods, civil works, and medical equipment for PREM SINGH",4861757.0,6864089.0,2020-05-21 17:00:00,2020-05-28 10:00:00,2020-05-21,3,works,Nahan,ocds-kjhdrl-2020_PWD_37341_4,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_PWD_15116_3,Construction of link road to village Bhatiyound in Tehsil Salooni under SCSP Head,Formation cutting 2.75/5.00 mtrs wide road in K.M. 0/0 to 1/315,Executive Engineer,Hanif Ali,"Supplier of goods, civil works, and medical equipment for Hanif Ali",1588389.0,1155303.0,2017-03-01 10:00:00,2017-03-22 11:00:00,2017-03-01,13,works,Salooni,ocds-kjhdrl-2017_PWD_15116_3,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2018_PWD_24827_1,Construction of Office of the State Vigilance and anti corruption Beuro office building at Solan,SH Construction of building portion providign water supply and sanitary installation C/o septic tnak soak pit C/o rain water harvesting tank and site developement etc,EE B and R Solan,M P Mohan & Sons,"Supplier of goods, civil works, and medical equipment for M P Mohan & Sons",12332545.0,14781351.24,2018-11-22 18:30:00,2018-12-06 10:30:00,2018-11-22,5,works,Solan,ocds-kjhdrl-2018_PWD_24827_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_PWD_17093_1,Construction of multipurpose Hall in respect of Govt. Degree College Haripurdhar Distt. Sirmour H.P.,C/O Civil work including water Supply and Sanitary Installation and Septic and including soak pit in ground floor,"Executive Engineer, HPPWD Division Sangrah",Vikram Singh,"Supplier of goods, civil works, and medical equipment for Vikram Singh",5086786.0,6176087.0,2017-07-03 17:00:00,2017-07-24 17:00:00,2017-07-03,9,works,Sangrah,ocds-kjhdrl-2017_PWD_17093_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_PWD_16771_1,"C/O Jaman Ki Ser Harkaghat road km 0/0 to 9/0 (SH C/O 900mm dia RCC hume pipe culvert alongwith wing walls at RD 4/100, 4/495, 4/385 and 4/805)","C/O Jaman Ki Ser Harkaghat road km 0/0 to 9/0 (SH C/O 900mm dia RCC hume pipe culvert alongwith wing walls at RD 4/100, 4/495, 4/385 and 4/805)",Executive Engineer,Virender Kumar govt Contractor,"Supplier of goods, civil works, and medical equipment for Virender Kumar govt Contractor",433095.0,598317.96,2017-06-08 14:00:00,2017-06-16 10:30:00,2017-06-08,6,works,Rajgarh Division HPPWD Ragarh,ocds-kjhdrl-2017_PWD_16771_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2019_HPIPH_30020_1,Prov. Sew scheme to Ward No 08 (Dokolar),Providing Sewerage Scheme to Ward No. 8 (Dakolar),EE Rampur,Dogra Construction Company Pvt Ltd,"Supplier of goods, civil works, and medical equipment for Dogra Construction Company Pvt Ltd",50423448.0,92265065.99,2019-07-08 16:00:00,2019-07-20 17:00:00,2019-07-08,3,works,Rampur,ocds-kjhdrl-2019_HPIPH_30020_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2017_PWD_15420_1,Restoration of rain damages on Solan Meenus road Km. 24/345 to 39/500,C/O PCC R/wall at RD 37/170 to 37/185 ). Under Black spot,Executive Engineer,Rajender Sood,"Supplier of goods, civil works, and medical equipment for Rajender Sood",190080.0,291710.0,2017-03-16 17:00:00,2017-04-05 17:00:00,2017-03-16,14,works,Rajagrh Division,ocds-kjhdrl-2017_PWD_15420_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2019_HPIPH_25819_1,"Providing LWSS to PC habitation of Census Village Mangdial, Bassa, Chatter Jhikla etc. in Tehsil Fatehpur District Kangra (HP)",Construction of Over Head Storage Tank of 60000 Ltr. Capacity with 10 mtr. Staging height at Node No. 55a and Over Head Storage Tank of 70000 Liter capacity with 10 Metres Staging height at Node No 55b,Executive Engineer,Sarabjit Singh Katoch,"Supplier of goods, civil works, and medical equipment for Sarabjit Singh Katoch",1743700.0,1859300.0,2019-01-08 17:00:00,2019-01-21 11:00:00,2019-01-08,6,works,Tehsil Fatehpur,ocds-kjhdrl-2019_HPIPH_25819_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
2018_PWD_19512_1,C/O KIARTU NALLAH TO KAFRONA ROAD 0/0 TO 6/500,Please refer tender document,EE Chopal,Vinod Gazata,"Supplier of goods, civil works, and medical equipment for Vinod Gazata",7487596.0,12007412.0,2018-02-09 17:30:00,2018-02-15 17:00:00,2018-02-09,2,works,chopal,ocds-kjhdrl-2018_PWD_19512_1,Himachal Pradesh Government OCDS Dataset (CivicDataLab)
